0.45 CG1304-PA 10 19553993 19554881 0 6.19554263.19554392.6.19552342.19552486 6 19554263 19554392 6 19552342 19552486 | 10 
0.38 CG14238-PA 740 21760558 21762915 1 3.21761198.21761457.3.21759352.21759808 3 21761198 21761457 3 21759352 21759808 | 6 
0.01 CG3524-PA 751 2922948 2934729 0 0.2923538.2923633.0.2923518.2923628 0 2923538 2923633 0 2923518 2923628 | 2 4 7 8 
0.25 CG3524-PA 751 2922948 2934729 0 0.2943926.2944012.0.2931797.2932019 0 2943926 2944012 0 2931797 2932019 | 1 4 7 8 10 14 
0.60 CG9124-PA 781 4864612 4866639 1 0.4868300.4868549.0.4865420.4865683 0 4868300 4868549 0 4865420 4865683 | 13 
0.73 CG32261-PA 803 3914601 3916317 1 2.3915551.3915856.2.3910469.3910832 2 3915551 3915856 2 3910469 3910832 | 3 
0.06 CG32261-PA 803 3914601 3916317 0 2.3916753.3917056.2.3916219.3916461 2 3916753 3917056 2 3916219 3916461 | 4 
1.0 CG32261-PA 803 3914601 3916317 1 2.3920079.3920390.2.3910549.3910866 2 3920079 3920390 2 3910549 3910866 | 8 10 16 
0.23 CG5977-PA 817 19403152 19407569 0 3.19408419.19408712.3.19406535.19406769 3 19408419 19408712 3 19406535 19406769 | 1 
0.37 CG1438-PA 822 26030637 26037326 1 3.26032765.26033095.3.26030268.26030598 3 26032765 26033095 3 26030268 26030598 | 11 
0.26 CG9506-PB 827 6165140 6170042 1 0.6166129.6166401.0.6152814.6153124 0 6166129 6166401 0 6152814 6153124 | 13 
0.02 CG11030-PA 834 5529284 5564458 0 0.5566546.5566837.0.5563794.5564136 0 5566546 5566837 0 5563794 5564136 | 7 
0.56 CG33198-PA 880 14847280 14847909 1 1.14847312.14847634.1.14844959.14845260 1 14847312 14847634 1 14844959 14845260 | 10 
0.36 CG2071-PA 935 19551773 19552656 1 6.19554263.19554392.6.19552342.19552486 6 19554263 19554392 6 19552342 19552486 | 10 
0.37 CG15252-PA 949 9409536 9411949 0 6.9410150.9410423.6.9407893.9408278 6 9410150 9410423 6 9407893 9408278 | 6 
0.38 CG32257-PA 952 3916434 3918091 1 2.3916753.3917056.2.3916219.3916461 2 3916753 3917056 2 3916219 3916461 | 4 
1.0 CG32257-PA 952 3916434 3918091 1 2.3920079.3920390.2.3910549.3910866 2 3920079 3920390 2 3910549 3910866 | 8 10 16 
1.0 CG8424-PA 989 12674663 12676702 1 1.12679635.12679865.1.12674558.12674853 1 12679635 12679865 1 12674558 12674853 | 14 
0.26 CG9126-PA 1018 14997556 15003072 0 6.14998696.14999000.6.14996974.14997291 6 14998696 14999000 6 14996974 14997291 | 19 
0.13 CG13350-PA 1026 10556259 10559293 0 1.10556346.10556652.1.10549764.10550072 1 10556346 10556652 1 10549764 10550072 | 8 13 17 18 
1.0 CG13350-PA 1026 10556259 10559293 1 1.10561915.10562279.1.10542146.10542363 1 10561915 10562279 1 10542146 10542363 | 9 16 
0.98 CG6524-PA 1049 8512403 8513142 1 2.8512457.8513130.2.8498341.8498514 2 8512457 8513130 2 8498341 8498514 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8513111.8513193.2.8508493.8508625 2 8513111 8513193 2 8508493 8508625 | 1 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8513315.8513895.2.8500236.8500515 2 8513315 8513895 2 8500236 8500515 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8513599.8514355.2.8507883.8508187 2 8513599 8514355 2 8507883 8508187 | 13 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8513785.8514363.2.8506572.8507213 2 8513785 8514363 2 8506572 8507213 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8515452.8516515.2.8502674.8503589 2 8515452 8516515 2 8502674 8503589 | 8 10 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8515565.8515880.2.8506169.8506941 2 8515565 8515880 2 8506169 8506941 | 16 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8517117.8517417.2.8502361.8502927 2 8517117 8517417 2 8502361 8502927 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8517931.8518113.2.8506219.8506430 2 8517931 8518113 2 8506219 8506430 | 1 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8518013.8519020.2.8505092.8506139 2 8518013 8519020 2 8505092 8506139 | 2 8 11 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8518155.8518355.2.8508456.8508876 2 8518155 8518355 2 8508456 8508876 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8518667.8519120.2.8497461.8498059 2 8518667 8519120 2 8497461 8498059 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8518772.8519186.2.8500624.8500772 2 8518772 8519186 2 8500624 8500772 | 1 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8518777.8519133.2.8506253.8506919 2 8518777 8519133 2 8506253 8506919 | 13 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8518887.8519388.2.8502448.8503253 2 8518887 8519388 2 8502448 8503253 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8519049.8519586.2.8504341.8504719 2 8519049 8519586 2 8504341 8504719 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8519459.8520189.2.8500848.8501422 2 8519459 8520189 2 8500848 8501422 | 11 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8520297.8520531.2.8500705.8501011 2 8520297 8520531 2 8500705 8501011 | 2 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8520302.8520938.2.8506776.8507738 2 8520302 8520938 2 8506776 8507738 | 1 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8520627.8520944.2.8504443.8505167 2 8520627 8520944 2 8504443 8505167 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8521181.8521640.2.8500872.8501546 2 8521181 8521640 2 8500872 8501546 | 10 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8521285.8522177.2.8505627.8506574 2 8521285 8522177 2 8505627 8506574 | 8 13 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8521316.8521943.2.8500015.8500622 2 8521316 8521943 2 8500015 8500622 | 2 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8521399.8521697.2.8497398.8498626 2 8521399 8521697 2 8497398 8498626 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8522363.8522666.2.8500416.8500977 2 8522363 8522666 2 8500416 8500977 | 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8522665.8523089.2.8504448.8504908 2 8522665 8523089 2 8504448 8504908 | 10 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8523294.8523810.2.8508231.8508724 2 8523294 8523810 2 8508231 8508724 | 4 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8523601.8524857.2.8505317.8506307 2 8523601 8524857 2 8505317 8506307 | 1 8 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8524267.8526072.2.8502756.8503632 2 8524267 8526072 2 8502756 8503632 | 13 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8524938.8525442.2.8502118.8502457 2 8524938 8525442 2 8502118 8502457 | 1 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8525769.8526265.2.8508383.8508564 2 8525769 8526265 2 8508383 8508564 | 2 
1.0 CG6524-PA 1049 8512403 8513142 1 2.8526404.8526534.2.8501627.8501861 2 8526404 8526534 2 8501627 8501861 | 8 
1.0 CG7730-PC 1055 16603780 16606055 1 2.16606108.16606480.2.16602502.16602853 2 16606108 16606480 2 16602502 16602853 | 5 7 8 9 10 11 12 13 14 17 
0.33 CG18284-PB 1056 10319674 10321607 1 0.10320152.10320303.0.10317892.10318016 0 10320152 10320303 0 10317892 10318016 | 17 
0.17 CG18572-PA 1057 15649615 15663456 0 6.15665640.15665950.6.15661056.15661349 6 15665640 15665950 6 15661056 15661349 | 10 
0.06 CG11902-PB 1062 20671245 20676018 0 3.20675700.20675914.3.20675614.20675864 3 20675700 20675914 3 20675614 20675864 | 15 
0.25 CG5588-PB 1110 22887347 22890683 1 3.22887920.22888188.3.22885586.22885827 3 22887920 22888188 3 22885586 22885827 | 3 
0.01 CG14447-PA 1111 5496785 5517283 0 6.5510505.5510704.6.5510477.5510673 6 5510505 5510704 6 5510477 5510673 | 15 16 
0.04 CG14447-PA 1111 5496785 5517283 0 6.5510582.5510883.6.5509965.5510263 6 5510582 5510883 6 5509965 5510263 | 4 7 11 
0.20 CG8641-PA 1119 6919215 6936849 0 2.6932613.6932814.2.6929201.6929450 2 6932613 6932814 2 6929201 6929450 | 2 
0.01 CG31646-PA 1143 5431088 5463334 0 0.5443440.5443626.0.5443337.5443507 0 5443440 5443626 0 5443337 5443507 | 9 
0.91 CG1851-PA 1163 3962746 3965480 0 1.3964943.3965243.1.3961574.3961771 1 3964943 3965243 1 3961574 3961771 | 14 
0.08 CG31817-PA 1175 15895429 15902511 0 0.15898674.15899191.0.15898648.15898898 0 15898674 15899191 0 15898648 15898898 | 3 
1.0 CG30185-PA 1180 19942209 19943071 1 1.19942867.19943179.1.19941561.19941877 1 19942867 19943179 1 19941561 19941877 | 16 
1.0 CG5167-PA 1219 12881104 12882628 1 3.12884268.12884563.3.12880752.12881032 3 12884268 12884563 3 12880752 12881032 | 8 
0.11 CG34397-PC 1237 17698229 17722025 0 1.17717876.17718070.1.17715388.17715579 1 17717876 17718070 1 17715388 17715579 | 15 
1.0 CG8006-PA 1245 8014649 8016391 1 2.8025547.8025609.2.8006114.8006255 2 8025547 8025609 2 8006114 8006255 | 4 
0.00 CG5586-PE 1255 22858840 22885645 0 3.22887920.22888188.3.22885586.22885827 3 22887920 22888188 3 22885586 22885827 | 3 
0.05 CG32383-PB 1258 7296990 7297976 1 2.7299037.7299216.2.7297924.7298043 2 7299037 7299216 2 7297924 7298043 | 1 
1.0 CG9505-PA 1289 6160659 6162978 1 0.6166129.6166401.0.6152814.6153124 0 6166129 6166401 0 6152814 6153124 | 13 
0.97 CG14527-PA 1315 24068094 24070196 1 3.24069893.24070128.3.24065532.24065822 3 24069893 24070128 3 24065532 24065822 | 14 
0.88 CG14527-PA 1315 24068094 24070196 0 3.24070967.24071135.3.24068344.24068431 3 24070967 24071135 3 24068344 24068431 | 7 
0.06 CG11525-PB 1342 26704007 26716567 0 3.26712848.26713025.3.26712217.26712472 3 26712848 26713025 3 26712217 26712472 | 17 
0.13 CG2218-PA 1395 25570532 25573219 0 3.25571562.25571906.3.25571560.25571853 3 25571562 25571906 3 25571560 25571853 | 7 
1.0 CG2213-PA 1401 1255859 1256712 1 2.1257771.1258046.2.1254356.1254634 2 1257771 1258046 2 1254356 1254634 | 19 
0.21 CG10277-PB 1408 2109395 2114813 1 3.2110307.2110557.3.2102352.2102621 3 2110307 2110557 3 2102352 2102621 | 13 
0.80 CG32452-PA 1413 22215024 22217024 0 2.22218201.22218538.2.22215418.22215755 2 22218201 22218538 2 22215418 22215755 | 10 13 18 
1.0 CG1780-PB 1426 9358628 9361353 1 6.9372149.9372227.6.9349600.9349693 6 9372149 9372227 6 9349600 9349693 | 3 
0.02 CG42739-PD 1439 14358119 14375623 0 6.14361568.14361859.6.14361510.14361829 6 14361568 14361859 6 14361510 14361829 | 19 
0.18 CG14059-PB 1449 16606071 16608316 0 2.16606108.16606480.2.16602502.16602853 2 16606108 16606480 2 16602502 16602853 | 5 7 8 9 10 11 12 13 14 17 
0.01 CG9151-PA 1462 14407235 14433271 0 6.14431002.14431142.6.14430895.14431014 6 14431002 14431142 6 14430895 14431014 | 12 
0.65 CG2863-PA 1482 539925 541722 0 0.540742.541086.0.538333.538704 0 540742 541086 0 538333 538704 | 7 
0.08 CG18445-PA 1564 6698854 6711818 0 1.6705726.6706432.1.6705454.6706430 1 6705726 6706432 1 6705454 6706430 | 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 18 19 20 
1.0 CG8674-PA 1593 20705772 20706906 1 0.20706565.20706910.0.20703966.20704303 0 20706565 20706910 0 20703966 20704303 | 11 
0.78 CG9500-PA 1604 6152596 6153577 1 0.6166129.6166401.0.6152814.6153124 0 6166129 6166401 0 6152814 6153124 | 13 
0.47 CG9160-PA 1616 1253401 1255193 0 2.1257771.1258046.2.1254356.1254634 2 1257771 1258046 2 1254356 1254634 | 19 
0.06 CG7004-PA 1619 276734 290499 0 2.283192.283467.2.282618.282860 2 283192 283467 2 282618 282860 | 14 
0.01 CG9325-PN 1658 15939113 15963432 0 1.15954681.15954834.1.15954489.15954724 1 15954681 15954834 1 15954489 15954724 | 4 
0.13 CG4086-PA 1660 16204253 16205788 0 2.16204330.16204452.2.16202997.16203229 2 16204330 16204452 2 16202997 16203229 | 16 
0.75 CG13618-PA 1664 19881496 19884189 0 3.19884994.19885309.3.19882164.19882497 3 19884994 19885309 3 19882164 19882497 | 2 5 20 
0.10 CG18210-PA 1673 14469525 14498134 0 6.14481628.14481886.6.14479130.14479437 6 14481628 14481886 6 14479130 14479437 | 2 
0.01 CG8544-PE 1679 14880475 14893851 0 6.14885813.14885945.6.14885802.14885933 6 14885813 14885945 6 14885802 14885933 | 6 7 18 
0.20 CG15012-PB 1693 4253256 4254436 0 2.4253196.4253490.2.4252489.4252798 2 4253196 4253490 2 4252489 4252798 | 19 
0.67 CG12487-PA 1701 14580697 14581305 0 2.14580956.14581107.2.14579140.14579364 2 14580956 14581107 2 14579140 14579364 | 1 4 8 10 11 12 13 18 
0.01 CG13503-PG 1767 18531730 18547585 0 1.18532552.18532710.1.18532488.18532706 1 18532552 18532710 1 18532488 18532706 | 13 14 
0.30 CG1318-PA 1794 4250666 4253259 0 2.4253196.4253490.2.4252489.4252798 2 4253196 4253490 2 4252489 4252798 | 19 
0.02 CG4103-PA 1797 14560121 14561312 1 0.14561291.14561391.0.14561290.14561379 0 14561291 14561391 0 14561290 14561379 | 15 
1.0 CG11825-PA 1866 7076996 7077658 1 1.7079984.7080175.1.7074984.7075061 1 7079984 7080175 1 7074984 7075061 | 20 
1.0 CG11825-PA 1866 7076996 7077658 1 1.7080630.7080710.1.7075395.7075579 1 7080630 7080710 1 7075395 7075579 | 1 
1.0 CG11825-PA 1866 7076996 7077658 1 1.7080782.7080875.1.7075686.7075776 1 7080782 7080875 1 7075686 7075776 | 16 
1.0 CG7653-PA 1868 15455323 15457782 1 0.15460346.15460870.0.15442908.15443434 0 15460346 15460870 0 15442908 15443434 | 1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
0.15 CG8678-PA 1937 20649678 20658747 0 0.20650633.20650994.0.20644468.20644809 0 20650633 20650994 0 20644468 20644809 | 5 
0.33 CG7729-PA 1947 16600639 16603419 0 2.16606108.16606480.2.16602502.16602853 2 16606108 16606480 2 16602502 16602853 | 5 7 8 9 10 11 12 13 14 17 
0.25 CG33203-PC 1956 24057949 24076246 0 3.24069893.24070128.3.24065532.24065822 3 24069893 24070128 3 24065532 24065822 | 14 
0.15 CG33203-PC 1956 24057949 24076246 0 3.24070967.24071135.3.24068344.24068431 3 24070967 24071135 3 24068344 24068431 | 7 
0.35 CG42575-PA 1968 10859204 10870350 0 2.10870381.10870586.2.10866452.10866565 2 10870381 10870586 2 10866452 10866565 | 10 13 15 
0.30 CG2975-PA 1976 2720760 2723250 0 0.2721484.2721641.0.2720884.2721132 0 2721484 2721641 0 2720884 2721132 | 13 
1.0 CG12117-PA 1987 7927620 7929350 1 6.7929113.7929354.6.7921199.7921328 6 7929113 7929354 6 7921199 7921328 | 2 4 5 6 7 8 
1.0 CG12117-PA 1987 7927620 7929350 1 6.7929964.7930084.6.7921981.7922135 6 7929964 7930084 6 7921981 7922135 | 2 
0.04 CG42458-PA 2075 7281823 7313127 0 2.7299037.7299216.2.7297924.7298043 2 7299037 7299216 2 7297924 7298043 | 1 
0.16 CG17302-PA 2079 2544418 2549838 0 0.2545769.2546077.0.2545228.2545525 0 2545769 2546077 0 2545228 2545525 | 10 
1.0 CG9116-PA 2088 1144186 1145160 1 2.1151061.1151422.2.1141135.1141232 2 1151061 1151422 2 1141135 1141232 | 3 5 6 7 10 11 13 15 20 
1.0 CG9116-PA 2088 1144186 1145160 1 2.1151182.1151515.2.1138061.1138268 2 1151182 1151515 2 1138061 1138268 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1.0 CG18746-PA 2132 3502806 3504923 1 3.3506239.3506551.3.3501272.3501589 3 3506239 3506551 3 3501272 3501589 | 1 
1.0 CG18294-PA 2140 19115725 19116162 1 2.19118491.19118713.2.19115280.19115489 2 19118491 19118713 2 19115280 19115489 | 4 15 
0.45 CG14032-PA 2148 5068724 5073961 0 0.5073691.5073826.0.5071444.5071613 0 5073691 5073826 0 5071444 5071613 | 6 8 10 14 15 18 19 
0.77 CG14032-PA 2148 5068724 5073961 0 0.5075310.5075704.0.5069930.5070041 0 5075310 5075704 0 5069930 5070041 | 3 
